,nama_kab_kota,total_produksi,satuan
0,KABUPATEN BOGOR,13113.490000000002,TON PER HARI
1,KABUPATEN SUKABUMI,4038.19,TON PER HARI
2,KABUPATEN CIANJUR,6497.919999999999,TON PER HARI
3,KABUPATEN BANDUNG,11934.04,TON PER HARI
4,KABUPATEN GARUT,4484.29,TON PER HARI
5,KABUPATEN TASIKMALAYA,3531.33,TON PER HARI
6,KABUPATEN CIAMIS,2329.72,TON PER HARI
7,KABUPATEN KUNINGAN,2486.63,TON PER HARI
8,KABUPATEN CIREBON,3205.17,TON PER HARI
9,KABUPATEN MAJALENGKA,2593.39,TON PER HARI
10,KABUPATEN SUMEDANG,2532.71,TON PER HARI
11,KABUPATEN INDRAMAYU,5383.18,TON PER HARI
12,KABUPATEN SUBANG,4735.530000000001,TON PER HARI
13,KABUPATEN PURWAKARTA,2262.9,TON PER HARI
14,KABUPATEN KARAWANG,5997.44,TON PER HARI
15,KABUPATEN BEKASI,11328.27,TON PER HARI
16,KABUPATEN BANDUNG BARAT,4972.370000000001,TON PER HARI
17,KABUPATEN PANGANDARAN,1277.55,TON PER HARI
18,KOTA BOGOR,5952.47,TON PER HARI
19,KOTA SUKABUMI,1833.7299999999998,TON PER HARI
20,KOTA BANDUNG,14521.779999999999,TON PER HARI
21,KOTA CIREBON,1887.57,TON PER HARI
22,KOTA BEKASI,15504.310000000001,TON PER HARI
23,KOTA DEPOK,12209.61,TON PER HARI
24,KOTA CIMAHI,3112.35,TON PER HARI
25,KOTA TASIKMALAYA,2754.7799999999997,TON PER HARI
26,KOTA BANJAR,758.93,TON PER HARI
